Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2026-06-10T22:00:00.000;599628000000000000;24;35;1005
2026-06-10T22:00:00.038;599628000038461600;32;40;1000
2026-06-10T22:00:00.076;599628000076923100;30;37;1003
2026-06-10T22:00:00.115;599628000115384600;33;37;1001
2026-06-10T22:00:00.153;599628000153846100;33;40;1002
2026-06-10T22:00:00.192;599628000192307700;28;38;1007
2026-06-10T22:00:00.230;599628000230769300;28;46;1005
2026-06-10T22:00:00.269;599628000269230700;35;36;1005
2026-06-10T22:00:00.307;599628000307692300;26;37;1011
2026-06-10T22:00:00.346;599628000346153900;33;35;1016
2026-06-10T22:00:00.384;599628000384615400;31;41;1014
2026-06-10T22:00:00.423;599628000423076900;36;41;1018
2026-06-10T22:00:00.461;599628000461538400;34;34;1011
2026-06-10T22:00:00.500;599628000500000000;28;39;1011
2026-06-10T22:00:00.538;599628000538461600;25;43;1015
2026-06-10T22:00:00.576;599628000576923000;29;40;1022
2026-06-10T22:00:00.615;599628000615384600;32;42;1016
2026-06-10T22:00:00.653;599628000653846100;28;36;1015
2026-06-10T22:00:00.692;599628000692307700;35;38;1016
2026-06-10T22:00:00.730;599628000730769300;32;38;1015
2026-06-10T22:00:00.769;599628000769230700;32;45;1021
2026-06-10T22:00:00.807;599628000807692300;34;42;1025
2026-06-10T22:00:00.846;599628000846153900;25;40;1023
2026-06-10T22:00:00.884;599628000884615400;35;46;1025
2026-06-10T22:00:00.923;599628000923076900;31;46;1027
2026-06-10T22:00:00.961;599628000961538400;31;44;1017
2026-06-10T22:00:01.000;599628001000000000;30;38;1024
2026-06-10T22:00:01.038;599628001038461600;31;43;1027
2026-06-10T22:00:01.076;599628001076923000;31;44;1021
2026-06-10T22:00:01.115;599628001115384600;32;43;1022
2026-06-10T22:00:01.153;599628001153846100;28;37;1016
2026-06-10T22:00:01.192;599628001192307700;24;45;1024
2026-06-10T22:00:01.230;599628001230769200;32;34;1022
2026-06-10T22:00:01.269;599628001269230700;31;43;1025
2026-06-10T22:00:01.307;599628001307692300;27;46;1021
2026-06-10T22:00:01.346;599628001346153900;34;41;1022
2026-06-10T22:00:01.384;599628001384615400;26;46;1018
2026-06-10T22:00:01.423;599628001423076900;31;36;1016
2026-06-10T22:00:01.461;599628001461538400;27;44;1020
2026-06-10T22:00:01.500;599628001500000000;33;42;1020
2026-06-10T22:00:01.538;599628001538461600;31;43;1019
2026-06-10T22:00:01.576;599628001576923000;30;37;1014
2026-06-10T22:00:01.615;599628001615384600;34;44;1009
2026-06-10T22:00:01.653;599628001653846100;31;40;1012
2026-06-10T22:00:01.692;599628001692307700;26;37;1010
2026-06-10T22:00:01.730;599628001730769200;30;36;1004
