Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2026-06-21T06:05:23.891;835351534233872000;-500275;-509615;-517415;-650690;
2026-06-21T06:05:23.898;835351534241279407;-500107;-509447;-517247;-650690;
2026-06-21T06:05:23.905;835351534248686815;-499933;-509273;-517073;-650690;
2026-06-21T06:05:23.913;835351534256094222;-499753;-509093;-516893;-650690;
2026-06-21T06:05:23.920;835351534263501630;-499568;-508908;-516708;-650690;
2026-06-21T06:05:23.928;835351534270909037;-499380;-508720;-516520;-650690;
2026-06-21T06:05:23.935;835351534278316444;-499190;-508530;-516330;-650690;
2026-06-21T06:05:23.942;835351534285723852;-498998;-508338;-516138;-650690;
2026-06-21T06:05:23.950;835351534293131259;-498805;-508145;-515945;-650690;
2026-06-21T06:05:23.957;835351534300538667;-498614;-507954;-515754;-650690;
2026-06-21T06:05:23.965;835351534307946074;-498424;-507764;-515564;-650690;
2026-06-21T06:05:23.972;835351534315353481;-498237;-507577;-515377;-650690;
2026-06-21T06:05:23.979;835351534322760889;-498054;-507394;-515194;-650690;
2026-06-21T06:05:23.987;835351534330168296;-497876;-507216;-515016;-650690;
2026-06-21T06:05:23.994;835351534337575704;-497704;-507044;-514844;-650690;
2026-06-21T06:05:24.002;835351534344983111;-497540;-506880;-514680;-650690;
2026-06-21T06:05:24.009;835351534352390519;-497383;-506723;-514523;-650690;
2026-06-21T06:05:24.016;835351534359797926;-497235;-506575;-514375;-650690;
2026-06-21T06:05:24.024;835351534367205333;-497098;-506438;-514238;-650690;
2026-06-21T06:05:24.031;835351534374612741;-496971;-506311;-514111;-650689;
2026-06-21T06:05:24.039;835351534382020148;-496855;-506195;-513995;-650689;
2026-06-21T06:05:24.046;835351534389427556;-496752;-506092;-513892;-650689;
2026-06-21T06:05:24.053;835351534396834963;-496661;-506001;-513801;-650689;
2026-06-21T06:05:24.061;835351534404242370;-496583;-505923;-513723;-650689;
2026-06-21T06:05:24.068;835351534411649778;-496518;-505858;-513658;-650689;
2026-06-21T06:05:24.076;835351534419057185;-496467;-505807;-513607;-650689;
2026-06-21T06:05:24.083;835351534426464593;-496430;-505770;-513570;-650689;
2026-06-21T06:05:24.091;835351534433872000;-496407;-505747;-513547;-650689;
2026-06-21T06:05:24.098;835351534441279407;-496398;-505738;-513538;-650689;
2026-06-21T06:05:24.105;835351534448686815;-496403;-505743;-513543;-650689;
2026-06-21T06:05:24.113;835351534456094222;-496422;-505762;-513562;-650689;
2026-06-21T06:05:24.120;835351534463501630;-496454;-505794;-513594;-650689;
2026-06-21T06:05:24.128;835351534470909037;-496499;-505839;-513639;-650689;
2026-06-21T06:05:24.135;835351534478316444;-496557;-505897;-513697;-650689;
2026-06-21T06:05:24.142;835351534485723852;-496627;-505967;-513767;-650689;
2026-06-21T06:05:24.150;835351534493131259;-496709;-506049;-513849;-650689;
2026-06-21T06:05:24.157;835351534500538667;-496801;-506141;-513941;-650689;
2026-06-21T06:05:24.165;835351534507946074;-496903;-506243;-514043;-650689;
2026-06-21T06:05:24.172;835351534515353481;-497015;-506355;-514155;-650689;
2026-06-21T06:05:24.179;835351534522760889;-497135;-506475;-514275;-650689;
2026-06-21T06:05:24.187;835351534530168296;-497262;-506602;-514402;-650689;
2026-06-21T06:05:24.194;835351534537575704;-497396;-506736;-514536;-650689;
2026-06-21T06:05:24.202;835351534544983111;-497536;-506876;-514676;-650689;
2026-06-21T06:05:24.209;835351534552390519;-497680;-507020;-514820;-650689;
2026-06-21T06:05:24.216;835351534559797926;-497828;-507168;-514968;-650689;
2026-06-21T06:05:24.224;835351534567205333;-497978;-507318;-515118;-650689;
2026-06-21T06:05:24.231;835351534574612741;-498130;-507470;-515270;-650689;
2026-06-21T06:05:24.239;835351534582020148;-498282;-507622;-515422;-650689;
2026-06-21T06:05:24.246;835351534589427556;-498434;-507774;-515574;-650689;
2026-06-21T06:05:24.253;835351534596834963;-498585;-507925;-515725;-650689;
2026-06-21T06:05:24.261;835351534604242370;-498734;-508074;-515874;-650689;
2026-06-21T06:05:24.268;835351534611649778;-498880;-508220;-516020;-650689;
2026-06-21T06:05:24.276;835351534619057185;-499021;-508361;-516161;-650689;
2026-06-21T06:05:24.283;835351534626464593;-499159;-508499;-516299;-650689;
2026-06-21T06:05:24.291;835351534633872000;-499291;-508631;-516431;-650689;
2026-06-21T06:05:24.298;835351534641279407;-499418;-508758;-516558;-650689;
2026-06-21T06:05:24.305;835351534648686815;-499538;-508878;-516678;-650688;
2026-06-21T06:05:24.313;835351534656094222;-499651;-508991;-516791;-650688;
2026-06-21T06:05:24.320;835351534663501630;-499757;-509097;-516897;-650688;
2026-06-21T06:05:24.328;835351534670909037;-499856;-509196;-516996;-650688;
2026-06-21T06:05:24.335;835351534678316444;-499947;-509287;-517087;-650688;
2026-06-21T06:05:24.342;835351534685723852;-500030;-509370;-517170;-650688;
2026-06-21T06:05:24.350;835351534693131259;-500106;-509446;-517246;-650688;
2026-06-21T06:05:24.357;835351534700538667;-500173;-509513;-517313;-650688;
2026-06-21T06:05:24.365;835351534707946074;-500233;-509573;-517373;-650688;
2026-06-21T06:05:24.372;835351534715353481;-500286;-509626;-517426;-650688;
2026-06-21T06:05:24.379;835351534722760889;-500331;-509671;-517471;-650688;
2026-06-21T06:05:24.387;835351534730168296;-500369;-509709;-517509;-650688;
2026-06-21T06:05:24.394;835351534737575704;-500400;-509740;-517540;-650688;
2026-06-21T06:05:24.402;835351534744983111;-500426;-509766;-517566;-650688;
2026-06-21T06:05:24.409;835351534752390519;-500446;-509786;-517586;-650688;
2026-06-21T06:05:24.416;835351534759797926;-500460;-509800;-517600;-650688;
2026-06-21T06:05:24.424;835351534767205333;-500471;-509811;-517611;-650688;
2026-06-21T06:05:24.431;835351534774612741;-500477;-509817;-517617;-650688;
2026-06-21T06:05:24.439;835351534782020148;-500480;-509820;-517620;-650688;
2026-06-21T06:05:24.446;835351534789427556;-500481;-509821;-517621;-650688;
2026-06-21T06:05:24.453;835351534796834963;-500479;-509819;-517619;-650688;
2026-06-21T06:05:24.461;835351534804242370;-500476;-509816;-517616;-650688;
2026-06-21T06:05:24.468;835351534811649778;-500473;-509813;-517613;-650688;
2026-06-21T06:05:24.476;835351534819057185;-500470;-509810;-517610;-650688;
2026-06-21T06:05:24.483;835351534826464593;-500467;-509807;-517607;-650688;
2026-06-21T06:05:24.491;835351534833872000;-500466;-509806;-517606;-650688;
2026-06-21T06:05:24.498;835351534841279407;-500467;-509807;-517607;-650688;
2026-06-21T06:05:24.505;835351534848686815;-500470;-509810;-517610;-650688;
2026-06-21T06:05:24.513;835351534856094222;-500475;-509815;-517615;-650688;
2026-06-21T06:05:24.520;835351534863501630;-500484;-509824;-517624;-650688;
2026-06-21T06:05:24.528;835351534870909037;-500497;-509837;-517637;-650688;
2026-06-21T06:05:24.535;835351534878316444;-500514;-509854;-517654;-650688;
2026-06-21T06:05:24.542;835351534885723852;-500534;-509874;-517674;-650688;
2026-06-21T06:05:24.550;835351534893131259;-500559;-509899;-517699;-650688;
2026-06-21T06:05:24.557;835351534900538667;-500589;-509929;-517729;-650688;
