Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2026-06-21T06:05:23.891;835351534233872000;-498725;-508065;-515865;-650690;
2026-06-21T06:05:23.898;835351534241279407;-498893;-508233;-516033;-650690;
2026-06-21T06:05:23.905;835351534248686815;-499068;-508408;-516208;-650690;
2026-06-21T06:05:23.913;835351534256094222;-499249;-508589;-516389;-650690;
2026-06-21T06:05:23.920;835351534263501630;-499434;-508774;-516574;-650690;
2026-06-21T06:05:23.928;835351534270909037;-499623;-508963;-516763;-650690;
2026-06-21T06:05:23.935;835351534278316444;-499814;-509154;-516954;-650690;
2026-06-21T06:05:23.942;835351534285723852;-500007;-509347;-517147;-650690;
2026-06-21T06:05:23.950;835351534293131259;-500200;-509540;-517340;-650690;
2026-06-21T06:05:23.957;835351534300538667;-500392;-509732;-517532;-650690;
2026-06-21T06:05:23.965;835351534307946074;-500583;-509923;-517723;-650690;
2026-06-21T06:05:23.972;835351534315353481;-500770;-510110;-517910;-650690;
2026-06-21T06:05:23.979;835351534322760889;-500954;-510294;-518094;-650690;
2026-06-21T06:05:23.987;835351534330168296;-501132;-510472;-518272;-650690;
2026-06-21T06:05:23.994;835351534337575704;-501305;-510645;-518445;-650690;
2026-06-21T06:05:24.002;835351534344983111;-501470;-510810;-518610;-650690;
2026-06-21T06:05:24.009;835351534352390519;-501627;-510967;-518767;-650690;
2026-06-21T06:05:24.016;835351534359797926;-501775;-511115;-518915;-650690;
2026-06-21T06:05:24.024;835351534367205333;-501914;-511254;-519054;-650690;
2026-06-21T06:05:24.031;835351534374612741;-502041;-511381;-519181;-650689;
2026-06-21T06:05:24.039;835351534382020148;-502157;-511497;-519297;-650689;
2026-06-21T06:05:24.046;835351534389427556;-502262;-511602;-519402;-650689;
2026-06-21T06:05:24.053;835351534396834963;-502353;-511693;-519493;-650689;
2026-06-21T06:05:24.061;835351534404242370;-502432;-511772;-519572;-650689;
2026-06-21T06:05:24.068;835351534411649778;-502497;-511837;-519637;-650689;
2026-06-21T06:05:24.076;835351534419057185;-502549;-511889;-519689;-650689;
2026-06-21T06:05:24.083;835351534426464593;-502586;-511926;-519726;-650689;
2026-06-21T06:05:24.091;835351534433872000;-502610;-511950;-519750;-650689;
2026-06-21T06:05:24.098;835351534441279407;-502619;-511959;-519759;-650689;
2026-06-21T06:05:24.105;835351534448686815;-502615;-511955;-519755;-650689;
2026-06-21T06:05:24.113;835351534456094222;-502597;-511937;-519737;-650689;
2026-06-21T06:05:24.120;835351534463501630;-502565;-511905;-519705;-650689;
2026-06-21T06:05:24.128;835351534470909037;-502521;-511861;-519661;-650689;
2026-06-21T06:05:24.135;835351534478316444;-502464;-511804;-519604;-650689;
2026-06-21T06:05:24.142;835351534485723852;-502394;-511734;-519534;-650689;
2026-06-21T06:05:24.150;835351534493131259;-502313;-511653;-519453;-650689;
2026-06-21T06:05:24.157;835351534500538667;-502222;-511562;-519362;-650689;
2026-06-21T06:05:24.165;835351534507946074;-502120;-511460;-519260;-650689;
2026-06-21T06:05:24.172;835351534515353481;-502009;-511349;-519149;-650689;
2026-06-21T06:05:24.179;835351534522760889;-501890;-511230;-519030;-650689;
2026-06-21T06:05:24.187;835351534530168296;-501763;-511103;-518903;-650689;
2026-06-21T06:05:24.194;835351534537575704;-501630;-510970;-518770;-650689;
2026-06-21T06:05:24.202;835351534544983111;-501491;-510831;-518631;-650689;
2026-06-21T06:05:24.209;835351534552390519;-501347;-510687;-518487;-650689;
2026-06-21T06:05:24.216;835351534559797926;-501200;-510540;-518340;-650689;
2026-06-21T06:05:24.224;835351534567205333;-501051;-510391;-518191;-650689;
2026-06-21T06:05:24.231;835351534574612741;-500900;-510240;-518040;-650689;
2026-06-21T06:05:24.239;835351534582020148;-500748;-510088;-517888;-650689;
2026-06-21T06:05:24.246;835351534589427556;-500596;-509936;-517736;-650689;
2026-06-21T06:05:24.253;835351534596834963;-500446;-509786;-517586;-650689;
2026-06-21T06:05:24.261;835351534604242370;-500298;-509638;-517438;-650689;
2026-06-21T06:05:24.268;835351534611649778;-500153;-509493;-517293;-650689;
2026-06-21T06:05:24.276;835351534619057185;-500012;-509352;-517152;-650689;
2026-06-21T06:05:24.283;835351534626464593;-499875;-509215;-517015;-650689;
2026-06-21T06:05:24.291;835351534633872000;-499743;-509083;-516883;-650689;
2026-06-21T06:05:24.298;835351534641279407;-499617;-508957;-516757;-650689;
2026-06-21T06:05:24.305;835351534648686815;-499498;-508838;-516638;-650688;
2026-06-21T06:05:24.313;835351534656094222;-499385;-508725;-516525;-650688;
2026-06-21T06:05:24.320;835351534663501630;-499280;-508620;-516420;-650688;
2026-06-21T06:05:24.328;835351534670909037;-499181;-508521;-516321;-650688;
2026-06-21T06:05:24.335;835351534678316444;-499091;-508431;-516231;-650688;
2026-06-21T06:05:24.342;835351534685723852;-499008;-508348;-516148;-650688;
2026-06-21T06:05:24.350;835351534693131259;-498934;-508274;-516074;-650688;
2026-06-21T06:05:24.357;835351534700538667;-498867;-508207;-516007;-650688;
2026-06-21T06:05:24.365;835351534707946074;-498807;-508147;-515947;-650688;
2026-06-21T06:05:24.372;835351534715353481;-498756;-508096;-515896;-650688;
2026-06-21T06:05:24.379;835351534722760889;-498711;-508051;-515851;-650688;
2026-06-21T06:05:24.387;835351534730168296;-498674;-508014;-515814;-650688;
2026-06-21T06:05:24.394;835351534737575704;-498643;-507983;-515783;-650688;
2026-06-21T06:05:24.402;835351534744983111;-498618;-507958;-515758;-650688;
2026-06-21T06:05:24.409;835351534752390519;-498599;-507939;-515739;-650688;
2026-06-21T06:05:24.416;835351534759797926;-498585;-507925;-515725;-650688;
2026-06-21T06:05:24.424;835351534767205333;-498575;-507915;-515715;-650688;
2026-06-21T06:05:24.431;835351534774612741;-498569;-507909;-515709;-650688;
2026-06-21T06:05:24.439;835351534782020148;-498567;-507907;-515707;-650688;
2026-06-21T06:05:24.446;835351534789427556;-498567;-507907;-515707;-650688;
2026-06-21T06:05:24.453;835351534796834963;-498569;-507909;-515709;-650688;
2026-06-21T06:05:24.461;835351534804242370;-498572;-507912;-515712;-650688;
2026-06-21T06:05:24.468;835351534811649778;-498576;-507916;-515716;-650688;
2026-06-21T06:05:24.476;835351534819057185;-498580;-507920;-515720;-650688;
2026-06-21T06:05:24.483;835351534826464593;-498583;-507923;-515723;-650688;
2026-06-21T06:05:24.491;835351534833872000;-498585;-507925;-515725;-650688;
2026-06-21T06:05:24.498;835351534841279407;-498585;-507925;-515725;-650688;
2026-06-21T06:05:24.505;835351534848686815;-498583;-507923;-515723;-650688;
2026-06-21T06:05:24.513;835351534856094222;-498578;-507918;-515718;-650688;
2026-06-21T06:05:24.520;835351534863501630;-498569;-507909;-515709;-650688;
2026-06-21T06:05:24.528;835351534870909037;-498557;-507897;-515697;-650688;
2026-06-21T06:05:24.535;835351534878316444;-498541;-507881;-515681;-650688;
2026-06-21T06:05:24.542;835351534885723852;-498521;-507861;-515661;-650688;
2026-06-21T06:05:24.550;835351534893131259;-498497;-507837;-515637;-650688;
2026-06-21T06:05:24.557;835351534900538667;-498468;-507808;-515608;-650688;
2026-06-21T06:05:24.565;835351534907946074;-498435;-507775;-515575;-650688;
2026-06-21T06:05:24.572;835351534915353481;-498397;-507737;-515537;-650688;
2026-06-21T06:05:24.579;835351534922760889;-498355;-507695;-515495;-650687;
2026-06-21T06:05:24.587;835351534930168296;-498309;-507649;-515449;-650687;
2026-06-21T06:05:24.594;835351534937575704;-498260;-507600;-515400;-650687;
2026-06-21T06:05:24.602;835351534944983111;-498207;-507547;-515347;-650687;
