Phone timestamp;RR-interval [ms]
2026-06-13T20:44:50.944;1000
2026-06-13T20:44:51.989;1045
2026-06-13T20:44:52.996;1007
2026-06-13T20:44:53.953;957
2026-06-13T20:44:54.941;988
2026-06-13T20:44:55.985;1044
2026-06-13T20:44:57.006;1021
2026-06-13T20:44:57.969;963
2026-06-13T20:44:58.946;977
2026-06-13T20:44:59.984;1038
2026-06-13T20:45:01.018;1034
2026-06-13T20:45:01.991;973
2026-06-13T20:45:02.960;969
2026-06-13T20:45:03.989;1029
2026-06-13T20:45:05.032;1043
2026-06-13T20:45:06.017;985
2026-06-13T20:45:06.980;963
2026-06-13T20:45:07.999;1019
2026-06-13T20:45:09.048;1049
2026-06-13T20:45:10.047;999
2026-06-13T20:45:11.008;961
2026-06-13T20:45:12.014;1006
2026-06-13T20:45:13.066;1052
2026-06-13T20:45:14.080;1014
2026-06-13T20:45:15.043;963
2026-06-13T20:45:16.037;994
2026-06-13T20:45:17.087;1050
2026-06-13T20:45:18.115;1028
2026-06-13T20:45:19.084;969
2026-06-13T20:45:20.067;983
2026-06-13T20:45:21.111;1044
2026-06-13T20:45:22.151;1040
2026-06-13T20:45:23.130;979
2026-06-13T20:45:24.104;974
2026-06-13T20:45:25.139;1035
2026-06-13T20:45:26.188;1049
2026-06-13T20:45:27.178;990
2026-06-13T20:45:28.146;968
2026-06-13T20:45:29.170;1024
2026-06-13T20:45:30.224;1054
2026-06-13T20:45:31.228;1004
2026-06-13T20:45:32.194;966
2026-06-13T20:45:33.205;1011
2026-06-13T20:45:34.261;1056
2026-06-13T20:45:35.279;1018
2026-06-13T20:45:36.246;967
2026-06-13T20:45:37.244;998
2026-06-13T20:45:38.297;1053
2026-06-13T20:45:39.328;1031
2026-06-13T20:45:40.301;973
2026-06-13T20:45:41.287;986
2026-06-13T20:45:42.334;1047
2026-06-13T20:45:43.376;1042
2026-06-13T20:45:44.357;981
2026-06-13T20:45:45.334;977
2026-06-13T20:45:46.371;1037
2026-06-13T20:45:47.422;1051
2026-06-13T20:45:48.414;992
2026-06-13T20:45:49.384;970
2026-06-13T20:45:50.409;1025
2026-06-13T20:45:51.465;1056
2026-06-13T20:45:52.470;1005
2026-06-13T20:45:53.437;967
2026-06-13T20:45:54.449;1012
2026-06-13T20:45:55.506;1057
